기관대분류,최상위기관,기관명,전체기관명,총계,공개장소,비공개장소,공개장소 소계,범죄예방,시설안전 및 화재예방,교통단속,교통정보수집 분석 및 제공
국가행정기관,감사원,감사원,감사원,75,6,69,6,0,6,0,0
국가행정기관,감사원,감사교육원,감사원 감사교육원,28,28,0,28,0,28,0,0
국가행정기관,경제사회노동위원회,경제사회노동위원회,경제사회노동위원회,2,2,0,2,0,2,0,0
국가행정기관,경찰청,경찰청,경찰청,288,248,40,248,3,245,0,0
국가행정기관,경찰청,강원도지방경찰청,경찰청 강원도지방경찰청,1148,1103,45,1103,0,184,919,0
국가행정기관,경찰청,강릉경찰서,경찰청 강원도지방경찰청 강릉경찰서,98,69,29,69,0,69,0,0
국가행정기관,경찰청,고성경찰서,경찰청 강원도지방경찰청 고성경찰서,58,58,0,58,19,39,0,0
국가행정기관,경찰청,동해경찰서,경찰청 강원도지방경찰청 동해경찰서,119,81,38,81,0,81,0,0
국가행정기관,경찰청,삼척경찰서,경찰청 강원도지방경찰청 삼척경찰서,87,68,19,68,0,68,0,0
국가행정기관,경찰청,속초경찰서,경찰청 강원도지방경찰청 속초경찰서,103,65,38,65,0,65,0,0
국가행정기관,경찰청,양구경찰서,경찰청 강원도지방경찰청 양구경찰서,50,41,9,41,0,41,0,0
국가행정기관,경찰청,영월경찰서,경찰청 강원도지방경찰청 영월경찰서,70,48,22,48,0,48,0,0
국가행정기관,경찰청,원주경찰서,경찰청 강원도지방경찰청 원주경찰서,173,101,72,101,0,101,0,0
국가행정기관,경찰청,인제경찰서,경찰청 강원도지방경찰청 인제경찰서,51,47,4,47,0,47,0,0
국가행정기관,경찰청,정선경찰서,경찰청 강원도지방경찰청 정선경찰서,57,53,4,53,9,44,0,0
국가행정기관,경찰청,철원경찰서,경찰청 강원도지방경찰청 철원경찰서,59,49,10,49,0,49,0,0
국가행정기관,경찰청,춘천경찰서,경찰청 강원도지방경찰청 춘천경찰서,150,94,56,94,0,94,0,0
국가행정기관,경찰청,태백경찰서,경찰청 강원도지방경찰청 태백경찰서,66,42,24,42,0,42,0,0
국가행정기관,경찰청,평창경찰서,경찰청 강원도지방경찰청 평창경찰서,59,51,8,51,0,51,0,0
국가행정기관,경찰청,홍천경찰서,경찰청 강원도지방경찰청 홍천경찰서,118,76,42,76,0,76,0,0
국가행정기관,경찰청,화천경찰서,경찰청 강원도지방경찰청 화천경찰서,53,39,14,39,0,39,0,0
국가행정기관,경찰청,횡성경찰서,경찰청 강원도지방경찰청 횡성경찰서,78,65,13,65,0,65,0,0
국가행정기관,경찰청,경기도남부경찰청,경찰청 경기도남부경찰청,3107,2712,395,2712,0,12,2700,0
국가행정기관,경찰청,과천경찰서,경찰청 경기도남부경찰청 과천경찰서,68,18,50,18,0,18,0,0
국가행정기관,경찰청,광명경찰서,경찰청 경기도남부경찰청 광명경찰서,96,57,39,57,0,57,0,0
국가행정기관,경찰청,광주경찰서,경찰청 경기도남부경찰청 광주경찰서,121,76,45,76,0,76,0,0
국가행정기관,경찰청,군포경찰서,경찰청 경기도남부경찰청 군포경찰서,99,50,49,50,0,50,0,0
국가행정기관,경찰청,김포경찰서,경찰청 경기도남부경찰청 김포경찰서,177,123,54,123,0,123,0,0
국가행정기관,경찰청,부천소사경찰서,경찰청 경기도남부경찰청 부천소사경찰서,130,56,74,56,0,56,0,0
국가행정기관,경찰청,부천오정경찰서,경찰청 경기도남부경찰청 부천오정경찰서,147,109,38,109,0,109,0,0
국가행정기관,경찰청,부천원미경찰서,경찰청 경기도남부경찰청 부천원미경찰서,203,87,116,87,0,87,0,0
국가행정기관,경찰청,분당경찰서,경찰청 경기도남부경찰청 분당경찰서,191,53,138,53,8,45,0,0
국가행정기관,경찰청,성남수정경찰서,경찰청 경기도남부경찰청 성남수정경찰서,160,83,77,83,0,83,0,0
국가행정기관,경찰청,성남중원경찰서,경찰청 경기도남부경찰청 성남중원경찰서,108,38,70,38,2,36,0,0
국가행정기관,경찰청,수원남부경찰서,경찰청 경기도남부경찰청 수원남부경찰서,157,129,28,129,38,91,0,0
국가행정기관,경찰청,수원서부경찰서,경찰청 경기도남부경찰청 수원서부경찰서,147,95,52,95,0,95,0,0
국가행정기관,경찰청,수원중부경찰서,경찰청 경기도남부경찰청 수원중부경찰서,148,104,44,104,104,0,0,0
국가행정기관,경찰청,시흥경찰서,경찰청 경기도남부경찰청 시흥경찰서,193,106,87,106,0,106,0,0
국가행정기관,경찰청,안산단원경찰서,경찰청 경기도남부경찰청 안산단원경찰서,151,87,64,87,0,87,0,0
국가행정기관,경찰청,안산상록경찰서,경찰청 경기도남부경찰청 안산상록경찰서,193,83,110,83,0,83,0,0
국가행정기관,경찰청,안성경찰서,경찰청 경기도남부경찰청 안성경찰서,111,63,48,63,0,63,0,0
국가행정기관,경찰청,안양동안경찰서,경찰청 경기도남부경찰청 안양동안경찰서,141,76,65,76,0,76,0,0
국가행정기관,경찰청,안양만안경찰서,경찰청 경기도남부경찰청 안양만안경찰서,115,82,33,82,0,82,0,0
국가행정기관,경찰청,양평경찰서,경찰청 경기도남부경찰청 양평경찰서,98,74,24,74,0,74,0,0
